Account,Airdrop,GnoOption,UserOption,Investor,Team,Advisor
0x5fb8b9512684d451d4e585a1a0aabfb48a253c67,30010.48307,0,28467.04939,0,0,0
0x6c6541cc3ec6bfc2d7b0ca48ccb0225cbbea9b59,30010.48307,0,28467.04939,0,0,0
0x6f55ecc1cb708ccd77240b96a9a2554d939ae3b8,30010.48307,0,28467.04939,0,0,0
0x74078f75eb7ba3a0097421027eb9eaee8c5c1826,30010.48307,0,28467.04939,0,0,0
0x7532a9e3e9475337c8a907428e35932a20959fdf,30010.48307,0,28467.04939,0,0,0
0x76fc54b4ec08917fc4a7fc6a72d0baaff9861ad7,30010.48307,0,28467.04939,0,0,0
0x7ab417afd459335213601f160dda165b789b0193,30010.48307,0,28467.04939,0,0,0
0x7d26d3bd8e5eee24697ecdf4f7b41c2ca2f92f30,30010.48307,0,28467.04939,0,0,0
0x87428db7c48aad07e2b565756b2e70064973104a,30010.48307,0,28467.04939,0,0,0
0x8b43adb7c0e01ac5cc4af110c507683b24c648e5,30010.48307,0,28467.04939,0,0,0
0xa0eac5d90be5e6346b22895a207d49fbe9711447,30010.48307,0,28467.04939,0,0,0
0xa49b8c71964aba7b31c08757e1c50722096ef7b1,30010.48307,0,28467.04939,0,0,0
0xa9cdf0542a1128c5caca1e81521a09aec8abe1a7,30010.48307,0,28467.04939,0,0,0
0xb1f530f9894e19446b5c6f315b1174d77449bcf6,30010.48307,0,28467.04939,0,0,0
0xbf50d465e47c4c6aefe651a18864229a6d453347,30010.48307,0,28467.04939,0,0,0
0xc23eef354eeafa70619a1a37f9139b9b09af826a,30010.48307,0,28467.04939,0,0,0
0xcdfdb5dd29cba38496b9154b9df4f3346ac886e5,30010.48307,0,28467.04939,0,0,0
0xd50f649a2c9fd7ae88c223da80e985d71de45593,30010.48307,0,28467.04939,0,0,0
0xe1a24535d1dd36c2b1508e11138960c3950ab161,30010.48307,0,28467.04939,0,0,0
0xe1b048f4af9cf771829a5bad6e77d636be2ca3f4,30010.48307,0,28467.04939,0,0,0
